Date,User_ID,Session_Duration,Traffic_Source,Device,Added_to_Cart,Purchased,Rating
2022-01-30,3274,742,Social Media,Tablet,Yes,No,3
2022-01-31,1256,839,Referral,Mobile,Yes,No,4
2022-01-31,5541,939,Referral,Mobile,No,No,
2022-01-31,1324,1166,Social Media,Mobile,Yes,No,2
2022-02-01,4933,1533,Referral,Mobile,No,Yes,5
2022-02-01,3576,178,Referral,Desktop,Yes,No,1
2022-02-01,2425,988,Social Media,Tablet,Yes,No,4
2022-02-02,2845,1521,Social Media,Mobile,No,No,2
2022-02-02,6715,548,Social Media,Mobile,Yes,No,3
2022-02-03,6492,624,Organic,Desktop,No,No,2
2022-02-03,6913,445,Direct,Mobile,No,No,3
2022-02-03,6785,1426,Paid,Tablet,Yes,No,5
2022-02-03,9624,266,Direct,Mobile,Yes,No,1
2022-02-04,3159,1795,Paid,Tablet,Yes,No,2
2022-02-04,4093,489,Organic,Desktop,No,No,5
2022-02-04,3868,1092,Organic,Desktop,No,Yes,3
2022-02-04,8288,1293,Organic,Desktop,Yes,No,
2022-02-04,9119,1354,Organic,Tablet,No,No,1
2022-02-05,9895,721,Paid,Tablet,No,No,1
2022-02-05,1224,1415,Organic,Desktop,Yes,Yes,5
2022-02-05,6818,1000,Social Media,Mobile,No,No,5
2022-02-05,4078,655,Social Media,Tablet,No,Yes,5
2022-02-05,4378,1604,Organic,Desktop,No,No,4
2022-02-06,3276,1630,Direct,Tablet,No,Yes,5
2022-02-06,8968,71,Referral,Tablet,No,No,2
2022-02-06,6073,1776,Direct,Desktop,No,No,5
2022-02-07,9834,752,Social Media,Tablet,No,No,2
2022-02-07,8925,231,Organic,Tablet,No,No,5
2022-02-07,4412,869,Referral,Tablet,No,No,1
2022-02-08,4080,296,Referral,Desktop,Yes,No,3
2022-02-08,6009,598,Paid,Desktop,Yes,No,
2022-02-08,2798,1008,Social Media,Mobile,No,Yes,1
2022-02-08,2437,463,Referral,Desktop,No,No,4
2022-02-08,5006,959,Paid,Desktop,Yes,No,4
2022-02-08,4581,927,Paid,Mobile,Yes,No,2
2022-02-09,6419,1657,Referral,Desktop,Yes,No,3
2022-02-09,1885,346,Direct,Tablet,No,No,3
2022-02-09,7331,75,Organic,Mobile,No,Yes,2
2022-02-09,5276,145,Social Media,Mobile,No,No,3
2022-02-09,2550,1713,Referral,Tablet,No,No,
2022-02-09,2241,1223,Social Media,Desktop,No,Yes,5
2022-02-10,1604,105,Social Media,Mobile,No,Yes,4
2022-02-10,3338,849,Social Media,Tablet,No,No,4
2022-02-10,2204,1527,Referral,Tablet,No,No,2
2022-02-10,4185,1663,Paid,Mobile,No,No,4
2022-02-10,9316,1390,Organic,Desktop,Yes,No,
2022-02-10,7152,647,Paid,Desktop,Yes,Yes,2
2022-02-11,6077,963,Referral,Mobile,No,No,3
2022-02-11,1779,1667,Referral,Tablet,Yes,No,1
2022-02-11,8225,1628,Organic,Mobile,Yes,No,5
2022-02-12,2937,684,Paid,Mobile,Yes,No,3
2022-02-12,9073,774,Social Media,Desktop,No,No,5
2022-02-12,1298,826,Paid,Tablet,No,No,5
2022-02-12,1667,1175,Paid,Tablet,No,No,4
2022-02-12,9737,1174,Social Media,Mobile,No,No,4
2022-02-12,5749,1573,Direct,Tablet,No,No,2
2022-02-12,5615,1719,Social Media,Mobile,No,No,2
2022-02-12,4523,1287,Paid,Mobile,Yes,No,4
2022-02-13,6914,1781,Referral,Desktop,Yes,No,4
2022-02-13,2494,988,Referral,Desktop,No,No,3
2022-02-14,8232,333,Paid,Desktop,Yes,No,1
2022-02-14,1972,864,Direct,Mobile,Yes,Yes,4
2022-02-14,2717,663,Social Media,Desktop,No,No,5
2022-02-15,8978,1667,Organic,Mobile,Yes,No,2
2022-02-15,1582,215,Direct,Mobile,Yes,No,3
2022-02-16,8160,1788,Organic,Tablet,Yes,Yes,1
2022-02-16,9447,546,Referral,Desktop,No,No,5
2022-02-16,3208,92,Social Media,Tablet,Yes,No,5
2022-02-16,1445,207,Social Media,Tablet,Yes,No,2
2022-02-16,2032,45,Social Media,Desktop,Yes,Yes,2
2022-02-17,1261,713,Direct,Desktop,Yes,No,4
2022-02-17,5377,789,Paid,Mobile,No,Yes,3
2022-02-17,5214,1728,Organic,Mobile,No,No,5
2022-02-17,1754,977,Referral,Desktop,No,Yes,3
2022-02-18,5243,1494,Direct,Mobile,No,Yes,2
2022-02-18,6582,1357,Paid,Mobile,No,No,5
2022-02-18,7227,1663,Organic,Mobile,No,No,5
2022-02-18,8345,1564,Organic,Mobile,No,No,1
2022-02-19,3881,760,Direct,Desktop,Yes,No,2
2022-02-19,1556,1175,Paid,Tablet,No,No,1
2022-02-19,9795,753,Paid,Desktop,Yes,No,3
2022-02-19,7598,322,Paid,Mobile,No,No,2
2022-02-19,4244,1586,Organic,Desktop,No,No,1
2022-02-20,4959,916,Social Media,Mobile,No,No,
2022-02-20,1277,959,Organic,Tablet,Yes,No,3
2022-02-20,5939,1415,Organic,Desktop,Yes,No,1
2022-02-20,6289,709,Paid,Desktop,No,No,5
2022-02-21,1430,1108,Organic,Tablet,Yes,No,5
2022-02-21,2960,428,Direct,Mobile,No,No,
2022-02-21,1537,405,Social Media,Mobile,No,No,
2022-02-22,6392,1528,Paid,Desktop,No,No,5
2022-02-22,7282,551,Social Media,Desktop,No,No,3
2022-02-22,7571,1484,Referral,Tablet,No,No,3
2022-02-22,9027,46,Social Media,Desktop,Yes,No,3
2022-02-23,6065,88,Direct,Desktop,Yes,Yes,4
2022-02-23,5412,495,Paid,Desktop,No,Yes,5
2022-02-23,4504,1015,Paid,Tablet,No,No,4
2022-02-23,5317,1137,Referral,Tablet,Yes,No,2
2022-02-23,2193,1168,Referral,Mobile,No,No,3
2022-02-23,7713,269,Paid,Desktop,Yes,No,1
2022-02-23,5576,471,Paid,Tablet,Yes,No,1
2022-02-24,8743,181,Organic,Mobile,No,No,4
2022-02-24,5760,273,Paid,Desktop,Yes,Yes,5
2022-02-24,8206,225,Referral,Mobile,Yes,No,2
2022-02-24,1382,84,Paid,Mobile,Yes,Yes,5
2022-02-24,3869,1081,Social Media,Desktop,No,Yes,4
2022-02-25,6704,885,Referral,Mobile,Yes,No,
2022-02-25,8358,1509,Paid,Mobile,No,No,2
2022-02-25,9347,82,Social Media,Mobile,No,No,4
2022-02-25,7869,1196,Paid,Desktop,Yes,No,3
2022-02-26,6829,88,Paid,Desktop,Yes,No,3
2022-02-26,8022,593,Organic,Mobile,No,No,4
2022-02-27,7859,1236,Organic,Tablet,Yes,No,
2022-02-27,2777,1379,Direct,Tablet,Yes,No,4
2022-02-27,3367,56,Referral,Desktop,Yes,Yes,4
2022-02-27,3682,560,Direct,Desktop,Yes,Yes,5
2022-02-27,9998,1602,Organic,Desktop,Yes,No,2
2022-02-27,7805,662,Social Media,Tablet,Yes,No,3
2022-02-28,6868,269,Referral,Mobile,No,Yes,4
2022-02-28,8762,618,Organic,Desktop,No,No,3
2022-02-28,5958,546,Social Media,Desktop,No,No,2
2022-02-28,1646,630,Organic,Mobile,Yes,No,1
2022-03-01,6801,245,Organic,Mobile,No,No,2
2022-03-01,9625,1392,Referral,Desktop,Yes,No,1
2022-03-02,5067,1473,Social Media,Desktop,Yes,No,5
2022-03-02,3731,741,Social Media,Desktop,Yes,No,
2022-03-02,7553,241,Social Media,Mobile,No,No,5
2022-03-02,5114,1061,Organic,Mobile,Yes,No,4
2022-03-02,7966,559,Organic,Tablet,No,No,4
2022-03-02,7747,202,Paid,Mobile,No,No,1
2022-03-03,8265,341,Direct,Mobile,Yes,No,2
2022-03-03,6724,389,Organic,Tablet,Yes,No,5
2022-03-03,8164,1130,Direct,Tablet,Yes,No,4
2022-03-04,5002,1650,Organic,Mobile,No,No,4
2022-03-04,8406,1262,Social Media,Desktop,No,No,1
2022-03-04,2340,879,Paid,Tablet,No,No,5
2022-03-05,1108,1694,Organic,Tablet,No,Yes,3
2022-03-05,9853,427,Organic,Mobile,No,No,4
2022-03-05,4176,566,Social Media,Desktop,No,No,5
2022-03-06,4535,202,Organic,Mobile,Yes,No,4
2022-03-06,3735,909,Paid,Desktop,Yes,Yes,
2022-03-06,5011,323,Social Media,Tablet,No,Yes,4
2022-03-06,1456,932,Direct,Tablet,No,No,3
2022-03-07,8062,889,Direct,Mobile,No,No,1
2022-03-07,2096,1529,Paid,Desktop,No,No,2
2022-03-08,8086,1488,Paid,Tablet,Yes,Yes,4
2022-03-08,1314,73,Paid,Desktop,No,No,2
2022-03-08,8777,1098,Paid,Mobile,Yes,No,1
2022-03-09,4758,748,Referral,Mobile,No,No,4
2022-03-09,4003,640,Organic,Tablet,Yes,No,2
2022-03-09,2384,624,Direct,Mobile,Yes,No,1
2022-03-10,4670,1090,Referral,Desktop,Yes,No,3
2022-03-10,1364,1330,Organic,Desktop,No,No,3
2022-03-10,7818,1312,Direct,Desktop,No,No,5
2022-03-10,6904,363,Referral,Tablet,No,No,
2022-03-10,7081,944,Direct,Tablet,No,No,2
2022-03-11,8283,1105,Referral,Desktop,No,No,5
2022-03-12,9194,333,Organic,Mobile,Yes,No,4
2022-03-12,1427,173,Referral,Mobile,Yes,No,5
2022-03-13,7635,124,Direct,Mobile,No,No,4
2022-03-13,6633,364,Referral,Tablet,No,No,4
2022-03-13,7718,1658,Paid,Desktop,No,Yes,
2022-03-13,6539,1585,Paid,Mobile,No,No,5
2022-03-13,1890,1586,Organic,Desktop,No,No,5
2022-03-13,1754,1752,Direct,Mobile,No,No,4
2022-03-14,8470,1093,Referral,Mobile,Yes,No,4
2022-03-14,7016,325,Paid,Mobile,No,No,3
2022-03-14,8770,532,Organic,Tablet,Yes,No,5
2022-03-14,4271,1552,Organic,Tablet,No,Yes,3
2022-03-14,4923,1730,Referral,Desktop,No,Yes,1
2022-03-14,7618,1541,Direct,Tablet,No,No,5
2022-03-14,2500,1339,Direct,Mobile,No,No,3
2022-03-14,1711,415,Paid,Mobile,Yes,No,2
2022-03-15,9252,245,Direct,Tablet,No,Yes,5
2022-03-15,6241,1136,Paid,Desktop,No,No,1
2022-03-16,6302,560,Organic,Mobile,No,Yes,2
2022-03-16,2982,203,Paid,Tablet,No,No,5
2022-03-16,7843,695,Social Media,Tablet,No,No,2
2022-03-16,9400,1277,Organic,Mobile,Yes,No,
2022-03-16,7997,876,Referral,Tablet,No,Yes,3
2022-03-16,6676,319,Referral,Mobile,No,No,5
2022-03-17,7900,1540,Social Media,Tablet,Yes,Yes,4
2022-03-17,9014,407,Social Media,Mobile,Yes,No,3
2022-03-17,3429,1150,Paid,Tablet,No,No,3
2022-03-17,9368,1082,Paid,Tablet,Yes,No,4
2022-03-17,2477,930,Social Media,Desktop,No,Yes,4
2022-03-17,5094,512,Direct,Tablet,No,No,2
2022-03-17,9847,1334,Direct,Mobile,No,No,4
2022-03-18,9855,1789,Referral,Tablet,Yes,Yes,4
2022-03-18,2118,263,Paid,Mobile,No,No,3
2022-03-19,6739,1059,Direct,Mobile,Yes,No,4
2022-03-19,7683,1686,Direct,Tablet,No,No,4
2022-03-19,6152,812,Paid,Tablet,No,No,1
2022-03-19,2410,523,Direct,Tablet,No,Yes,4
2022-03-19,8990,583,Referral,Desktop,No,No,3
2022-03-20,2919,1544,Paid,Tablet,Yes,No,4
2022-03-20,1832,1272,Referral,Tablet,No,No,
2022-03-20,8280,555,Social Media,Mobile,No,No,4
2022-03-20,7985,1640,Direct,Tablet,Yes,No,3
2022-03-20,9619,1398,Organic,Desktop,No,No,5
2022-03-20,3628,239,Referral,Mobile,No,No,
2022-03-21,7479,1199,Referral,Desktop,No,No,3
2022-03-22,5428,1410,Social Media,Tablet,No,No,5
2022-03-23,3428,377,Organic,Mobile,No,No,3
2022-03-23,5284,378,Social Media,Desktop,No,No,2
2022-03-23,9524,1118,Referral,Mobile,No,No,4
2022-03-23,1179,864,Paid,Desktop,No,No,3
2022-03-24,8252,273,Referral,Desktop,No,No,4
2022-03-24,7435,197,Organic,Tablet,Yes,No,4
2022-03-24,3582,75,Organic,Tablet,No,No,2
2022-03-24,6308,1294,Direct,Desktop,Yes,No,
2022-03-24,1250,1162,Direct,Tablet,No,No,5
2022-03-24,3650,682,Direct,Mobile,No,No,3
2022-03-24,5491,1374,Direct,Desktop,Yes,No,
2022-03-25,8973,752,Referral,Tablet,Yes,No,4
2022-03-25,8064,1463,Direct,Desktop,Yes,No,4
2022-03-26,8273,1160,Organic,Desktop,No,No,4
2022-03-26,1757,1054,Paid,Mobile,No,No,4
2022-03-26,6356,65,Direct,Desktop,Yes,No,4
2022-03-27,1848,1560,Referral,Tablet,Yes,No,4
2022-03-27,7546,57,Direct,Desktop,Yes,No,4
2022-03-27,7806,1789,Organic,Tablet,No,No,4
2022-03-28,1039,1305,Referral,Mobile,Yes,No,2
2022-03-28,3975,1389,Referral,Mobile,No,Yes,2
2022-03-28,1480,1647,Paid,Desktop,No,No,5
2022-03-28,3226,246,Social Media,Tablet,No,No,4
2022-03-28,6791,1267,Direct,Mobile,No,No,3
2022-03-28,3362,1710,Referral,Tablet,Yes,No,
2022-03-29,1918,1492,Social Media,Desktop,No,No,4
2022-03-29,7592,1738,Paid,Desktop,No,No,4
2022-03-29,2941,1505,Social Media,Mobile,No,No,3
2022-03-29,2292,1014,Social Media,Tablet,No,Yes,3
2022-03-30,4338,975,Direct,Tablet,Yes,No,4
2022-03-30,7606,1409,Direct,Desktop,Yes,No,4
2022-03-30,3568,793,Referral,Desktop,No,No,5
2022-03-31,9761,188,Social Media,Mobile,Yes,No,5
2022-03-31,8043,647,Direct,Mobile,No,No,4
2022-03-31,3773,1272,Paid,Desktop,Yes,No,5
2022-03-31,8507,865,Paid,Desktop,No,No,5
2022-03-31,9067,251,Paid,Tablet,Yes,No,3
2022-03-31,1755,1048,Social Media,Tablet,No,No,
2022-03-31,1678,901,Organic,Desktop,No,No,4
2022-04-01,3282,321,Social Media,Mobile,No,No,3
2022-04-01,1759,608,Referral,Desktop,No,Yes,
2022-04-02,5492,104,Direct,Tablet,No,No,3
2022-04-02,9856,874,Direct,Desktop,No,No,2
2022-04-02,3601,470,Paid,Tablet,No,No,3
2022-04-02,4071,1205,Paid,Desktop,No,No,4
2022-04-02,6283,1139,Paid,Tablet,Yes,Yes,3
2022-04-02,9071,1217,Organic,Desktop,No,No,3
2022-04-03,3738,408,Direct,Mobile,Yes,No,3
2022-04-03,2312,1711,Paid,Mobile,No,Yes,4
2022-04-03,8400,804,Paid,Mobile,No,No,
2022-04-03,4543,1177,Organic,Tablet,No,No,4
2022-04-03,2830,1196,Direct,Tablet,No,No,
2022-04-03,8825,1208,Social Media,Desktop,Yes,No,2
2022-04-04,1773,1026,Organic,Mobile,No,No,4
2022-04-05,1835,756,Direct,Tablet,No,No,5
2022-04-05,5137,192,Social Media,Mobile,No,No,4
2022-04-05,7763,1756,Organic,Desktop,Yes,No,5
2022-04-05,9648,554,Organic,Desktop,No,Yes,3
2022-04-06,5042,1195,Organic,Desktop,No,No,4
2022-04-06,9533,221,Direct,Mobile,Yes,No,3
2022-04-06,1234,628,Referral,Desktop,Yes,Yes,5
2022-04-06,7401,107,Social Media,Mobile,Yes,No,3
2022-04-06,8798,250,Social Media,Tablet,No,No,3
2022-04-07,9733,1613,Social Media,Desktop,Yes,No,2
2022-04-07,7034,652,Direct,Mobile,No,No,3
2022-04-08,2334,1047,Referral,Mobile,No,No,2
2022-04-08,3261,1705,Direct,Tablet,Yes,No,2
2022-04-08,1947,803,Direct,Tablet,Yes,No,3
2022-04-08,7092,119,Organic,Mobile,No,No,2
2022-04-09,8636,142,Paid,Mobile,No,No,
2022-04-09,6398,1171,Direct,Desktop,Yes,No,3
2022-04-09,9661,1394,Organic,Desktop,No,Yes,2
2022-04-09,8543,96,Organic,Desktop,No,No,3
2022-04-09,5582,1594,Paid,Mobile,Yes,Yes,
2022-04-10,5155,1632,Social Media,Mobile,Yes,No,
2022-04-10,4593,646,Social Media,Tablet,Yes,No,1
2022-04-11,6481,1187,Paid,Tablet,Yes,Yes,3
2022-04-11,9584,422,Paid,Tablet,Yes,No,4
2022-04-11,1869,190,Organic,Mobile,Yes,No,4
2022-04-11,3224,1053,Referral,Mobile,No,Yes,4
2022-04-12,2460,1057,Direct,Tablet,No,No,1
2022-04-12,9434,487,Paid,Desktop,Yes,Yes,4
2022-04-12,2559,761,Referral,Desktop,Yes,Yes,2
2022-04-13,7991,265,Direct,Mobile,No,No,5
2022-04-13,9945,1616,Referral,Tablet,Yes,No,4
2022-04-13,5144,888,Organic,Mobile,Yes,No,5
2022-04-14,2287,1300,Social Media,Mobile,No,No,3
2022-04-14,4900,259,Organic,Desktop,No,No,1
2022-04-14,5644,1074,Organic,Tablet,Yes,No,
2022-04-14,9007,1723,Paid,Mobile,No,No,2
2022-04-14,8505,1572,Paid,Mobile,Yes,No,4
2022-04-14,8073,237,Paid,Tablet,No,No,5
2022-04-14,3603,803,Paid,Mobile,Yes,Yes,1
2022-04-15,5477,1020,Referral,Tablet,No,No,2
2022-04-15,5562,1612,Social Media,Mobile,No,No,5
2022-04-15,6938,1329,Paid,Desktop,No,No,2
2022-04-15,1975,1447,Referral,Tablet,Yes,Yes,4
2022-04-15,2997,838,Direct,Mobile,Yes,Yes,5
2022-04-16,9457,1757,Organic,Mobile,No,Yes,5
2022-04-16,3327,590,Organic,Desktop,No,No,1
2022-04-16,2108,1325,Direct,Desktop,No,No,3
2022-04-16,5967,362,Social Media,Desktop,No,No,4
2022-04-16,2756,596,Direct,Mobile,No,No,4
2022-04-17,6497,231,Referral,Desktop,No,Yes,4
2022-04-17,7048,611,Social Media,Tablet,No,No,4
2022-04-18,3667,1019,Referral,Mobile,Yes,No,4
2022-04-18,7800,968,Referral,Desktop,No,No,3
2022-04-18,3470,136,Organic,Desktop,Yes,No,3
2022-04-18,6577,244,Organic,Desktop,No,Yes,5
2022-04-19,3708,133,Paid,Tablet,No,No,4
2022-04-19,5378,1523,Organic,Tablet,Yes,No,5
2022-04-19,2927,1783,Direct,Desktop,Yes,Yes,5
2022-04-19,3825,828,Direct,Tablet,Yes,No,4
2022-04-19,1270,1227,Organic,Tablet,Yes,No,1
2022-04-19,2331,330,Referral,Mobile,Yes,No,5
2022-04-19,9653,488,Paid,Desktop,No,No,
2022-04-19,1602,571,Paid,Tablet,Yes,No,3
2022-04-20,8989,928,Direct,Desktop,No,No,2
2022-04-21,6585,483,Organic,Mobile,No,No,4
2022-04-21,3421,699,Paid,Mobile,No,No,4
2022-04-21,9449,634,Paid,Desktop,No,No,1
2022-04-21,7468,554,Referral,Desktop,Yes,No,1
2022-04-21,8849,620,Direct,Tablet,No,No,4
2022-04-21,7363,1482,Organic,Mobile,No,Yes,5
2022-04-21,9471,455,Referral,Tablet,No,No,2
2022-04-21,1540,1142,Social Media,Tablet,Yes,No,2
2022-04-21,6531,1138,Paid,Mobile,Yes,No,
2022-04-21,4240,1356,Social Media,Mobile,Yes,No,4
2022-04-22,9419,1685,Direct,Mobile,Yes,No,4
2022-04-22,3804,655,Paid,Desktop,Yes,No,5
2022-04-22,2184,1273,Direct,Desktop,No,Yes,5
2022-04-23,4017,422,Paid,Tablet,No,Yes,3
